"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"cel";0,000584933173662479;0,00364418921706887;0;0,00730438512176762;0,00183956306717083;0,00123365357026886;0;0;0;0;0;0;0,00786271873627626;0;0;0;0;0;0
"cenny";0,00114242965650495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"centaur";0;0;0;0;0;0,00197549333288014;0;0,00904744624934008;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"ceremonia";0,00114242965650495;0;0,00326097139903974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cha";0,00571214828252477;0;0;0;0;0;0;0,0147131484187705;0;0;0;0;0;0;0;0;0;0;0
"chang";0,00114242965650495;0;0;0;0;0;0;0,00735657420938525;0;0;0;0;0;0;0;0;0;0;0
"charlie";0,00281002287659771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0123285417255668;0;0,0114290343893666;0
"charliego";0,000790688537968198;0;0,00225695533478272;0;0;0;0;0;0;0;0;0;0;0;0;0,00520353591074904;0;0,00964775756842741;0
"char³ak";0;0;0;0,00475538435350452;0;0;0;0,00367828710469262;0;0;0;0;0;0;0;0;0;0;0
"chata";0,000790688537968198;0,00328404311679121;0;0;0;0,00166760201294035;0,00446460280723652;0;0;0;0;0;0;0;0;0;0;0;0
"chatka";0;0;0,00225695533478272;0;0,00248664547947299;0;0,00223230140361826;0;0,0316609508935716;0;0;0;0;0;0;0;0;0;0
"chc¹c";0,000584933173662479;0;0,00333928717414142;0,00730438512176762;0;0,00123365357026886;0;0;0,0234220424327103;0;0;0;0;0;0;0;0;0;0,00647068098335576
"chcieæ";0,000770295878019688;0,000799836077870699;0,00384780579027857;0,0056111487073462;0,00121125618429755;0,00365533394489795;0,00108736404230882;0,00124006295651754;0;0,00117486651352466;0,00260708473953568;0;0,00517718955368788;0;0;0,00126733285949651;0;0;0,00213030270545717
"chêæ";0;0;0;0;0;0,00240944177555162;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"chêtny";0,00114242965650495;0,00237248174831526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ch³opak";0,001013417229255;0;0;0,00210918388197069;0,0047806612545995;0,00320602208765426;0;0;0;0;0,00685986948279039;0;0;0;0;0;0;0,00618271498448919;0,0112106816450271
"ch³opca";0,00281002287659771;0;0,00802097895398322;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"ch³opcu";0,000677453189784109;0;0,00193373435598014;0,00281991130096079;0;0,0014287829514512;0;0;0;0,004133045962567;0;0;0;0;0;0;0;0;0
"ch³opiec";0,000877894838862881;0;0,00501175708210275;0;0,00138045078920751;0,0111091470039488;0,00619626372116974;0;0,0175764438513181;0,00401693405614888;0;0;0,00295018324691155;0;0;0;0;0;0
"chocia¿";0;0,00194518992894261;0;0;0;0,00197549333288014;0;0;0;0;0;0;0;0;0;0;0;0,0114290343893666;0
"chodziæ";0;0;0;0,00243479504058921;0,00735825226868331;0,00123365357026886;0;0;0;0;0;0;0,00393135936813813;0;0,0131981350216066;0,00384945604796859;0;0;0
"chory";0,000936674292199236;0,00194518992894261;0;0,00389892388392742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chroniæ";0;0;0;0;0;0,0014287829514512;0;0;0;0;0;0;0;0,0287462599784511;0;0,00445833198739866;0,0046975595574542;0;0,00749416116169737
"chrzestny";0,00237206561390459;0,00328404311679121;0;0;0;0;0,00446460280723652;0,00509156854687109;0;0;0;0;0;0;0;0;0;0;0
"chwila";0,0025335430731375;0,00841824742957476;0;0;0;0;0,00429167604186489;0;0;0,0030913574922446;0,00274394779311616;0;0,0102168268892623;0;0;0,0100039763290693;0;0;0
"chwilê";0,005067086146275;0,00315684278609054;0,0014463580234799;0,00210918388197069;0;0;0,00143055868062163;0;0;0;0,00274394779311616;0;0;0;0;0,00333465877635644;0;0;0
"chyba";0,00114242965650495;0;0;0;0;0,00240944177555162;0;0;0;0;0;0;0;0;0;0;0;0;0
"cia³o";0,00175578967772576;0,000911561368475957;0;0,00182712666682809;0,00138045078920751;0;0;0,00141328144217847;0;0,00133897801871629;0,00356550718126739;0;0;0;0;0;0;0,00535591207486517;0
"ci¹g³y";0;0;0;0;0;0,00166760201294035;0;0,00254578427343554;0;0,00241193939210685;0,00214088334613675;0;0;0;0;0;0;0;0
"ci¹¿a";0;0;0;0;0;0;0,00322535006300257;0;0;0;0;0;0;0;0;0;0,0158435488460663;0;0
"cichu";0,00114242965650495;0;0;0;0,00359284016973848;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciemnoœæ";0;0;0;0;0;0,00395098666576028;0;0;0;0;0,00507231430994748;0;0,0125908511239831;0;0;0;0;0;0
"ciemny";0,00187334858439847;0;0;0;0;0;0,00528890767174266;0;0;0;0;0;0;0;0,0211346429581145;0;0;0;0
"cierpieæ";0;0;0,00326097139903974;0;0;0;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"cieszyæ";0;0;0;0;0;0,00240944177555162;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"ciê¿ki";0;0,00140686590106371;0;0,00281991130096079;0;0;0;0,00218119979451441;0;0;0,00183428516052974;0;0;0;0;0;0;0,008266091925134;0
"ciocia";0;0;0;0;0;0,00240944177555162;0;0;0;0;0;0,0492110229309634;0;0;0;0;0;0;0
"ciotka";0,000677453189784109;0;0;0;0;0,0014287829514512;0,00382522228114444;0,00218119979451441;0;0;0;0;0;0;0;0;0,0046975595574542;0;0
"cmentarz";0,00456971862601982;0,00237248174831526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"codzienny";0,00316275415187279;0,00328404311679121;0;0;0;0;0;0;0;0;0;0;0,00531424944076498;0;0;0;0,00548275003278923;0;0
"cofaæ";0;0;0;0;0;0,00963776710220649;0;0;0;0;0;0;0,00767831563461841;0;0;0;0;0;0
"cofn¹æ";0;0;0;0;0;0,0120472088777581;0;0;0;0;0,0030932642985177;0;0;0;0;0;0;0;0
"colin";0;0,00237248174831526;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"córka";0;0,00281373180212743;0;0;0;0,00571513180580482;0;0;0;0;0,00183428516052974;0;0;0;0;0;0,0046975595574542;0,008266091925134;0
"crabbea";0;0,00237248174831526;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"crabbeem";0;0;0;0,00475538435350452;0;0;0,00322535006300257;0;0;0;0;0;0;0;0;0;0;0;0
"creevey";0;0,00237248174831526;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cross";0;0,00105228092869685;0,0014463580234799;0,00210918388197069;0,00159355375153317;0,00106867402921809;0,00143055868062163;0,00163145253837597;0;0;0;0;0;0;0;0;0;0;0
"cruciatus";0,000790688537968198;0,00164202155839561;0;0;0,00248664547947299;0,00166760201294035;0;0;0;0;0;0;0;0;0;0;0;0;0
"cudem";0;0;0,00326097139903974;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0;0
"cudowny";0;0;0;0;0;0;0;0;0;0;0;0;0,00767831563461841;0;0;0;0;0;0,0126378502468622
"cullen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0246570834511336;0;0,0228580687787333;0,0103617315670133
"cullenowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0194851098491885;0,0114290343893666;0,0207234631340267
"cullenów";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0061642708627834;0,0194851098491885;0;0,0103617315670133
"czara";0,00114242965650495;0,00474496349663051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarna";0,000877894838862881;0,00546936821085574;0,00125293927052569;0,00182712666682809;0,00276090157841501;0,00185152450065814;0,00123925274423395;0,00706640721089233;0;0;0;0;0;0;0;0;0;0;0
"czarnoksiê¿nik";0;0;0,00652194279807949;0;0,00359284016973848;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarny";0,003040251687765;0,00315684278609054;0;0;0,00159355375153317;0,00427469611687235;0,00429167604186489;0,00163145253837597;0;0,0030913574922446;0;0;0;0;0;0;0;0;0
"czarodziej";0,0128920455181299;0,00157487583930062;0,00432932735743483;0,00157833457101211;0,00119248065486866;0,0047982307655843;0,00321152684806735;0;0;0;0;0;0,0127423464775564;0,0160895897313623;0;0;0;0;0
"czarodziejski";0;0;0,00326097139903974;0,00951076870700904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarownica";0,001013417229255;0;0;0;0;0,00106867402921809;0;0,00163145253837597;0;0,0030913574922446;0,0370432952070681;0;0;0,0215010834535221;0,0571655790232532;0;0;0;0
"czary";0,00553481976577738;0,00164202155839561;0;0;0;0;0;0,00254578427343554;0;0;0,00214088334613675;0;0;0;0;0;0;0;0
"czas";0,00123973996872594;0,00128728295510878;0,00309639371456011;0,00322527519316238;0,000974718122535357;0,0088245251983839;0,00262506012742392;0,00149684912135668;0;0,00189086949092696;0,00125877883253138;0;0,002083085538468;0;0;0,00509921980770812;0,00214913459212674;0,00567260847278088;0
"czasów";0;0;0;0;0;0,00722832532665486;0;0;0,0457454579358251;0;0;0;0;0;0;0;0;0;0
"czego";0,000677453189784109;0,00281373180212743;0;0;0;0;0,00191261114057222;0;0;0,0020665229812835;0;0;0,00455319011479013;0;0;0;0;0;0
"czegoœ";0;0;0,00652194279807949;0;0;0;0;0;0;0;0,0061865285970354;0;0;0;0;0;0;0;0
"czekaæ";0,00131684225829432;0,000911561368475957;0,00501175708210275;0;0;0;0,00371775823270184;0;0,0175764438513181;0,00133897801871629;0,00475400957502318;0;0;0;0;0;0,00304372564254533;0;0
"czemu";0;0;0,00652194279807949;0;0;0;0;0;0;0;0,0061865285970354;0;0;0;0;0;0;0;0
"czerwony";0,00114242965650495;0;0;0;0;0;0;0;0;0,00696980153099482;0;0;0;0;0;0;0;0;0
